stopword_str,sentimen
jalan karya makmur rusak parah,negatif
densel,positif
kabel listrik tiang listrik canggu terimakasih,negatif
moga jalan denpasar bagus banjir,positif
jalan gunung andakasa gang mataharu padangsambian,negatif
jalan hasanuddin jalan thamrin tolong atensi,negatif
tata sungai anggar,negatif
jalan suradipa rusak parah drainasegot moga atensi,negatif
denpasar utara cenik maan dum bedik ngemang pajak kayak sihh keto,positif
jalan gunung payung padangsambian klod rusak berat tolong terimakasih,negatif
artinnya jalan p roti pakai dana apbd kota,negatif
astungkara jalan lubang tambal lpj nyala jalan lpj mohon pasang traffic lights rusak mohon matur suksma,positif
moga trotoar bikin naek turun rollcoaster cembung susah banget kalao jalan trotoar denpasar trotoar puput paking ideal nyaman pejal kaki lansia kursi roda nyaman saudara disabilitas,positif
nyeri,positif
denpasarkota tolong jalan tukad irawadi jalan tukad buaji jalan thamrin jalan setiabudi urgent,negatif
denpasarkota tunggu min,positif
alokasi anggar kecdenpasar utara,positif
denpasarkota atur pusat fungsi bangun trotoar dipake temu lapang trotoar bangun rusak bolong tutup sewernya pastidak temu case lapang atur implementasi daerah,negatif
denpasarkota subak dung kering mohon alir sungai normal nggih,negatif
jalan kota denapasar rusak min,negatif
nhaahini moga alir air subak mendpt perhati masuk salur buang air tuju sungai banjir,positif
celah,negatif
lawamanuaba selamat siang mohon maaf kondisi gali jalan jalan antasura laksana bocor pipa induk umur teknis terimakasih atensi kondisi jalan lubang akibat bocor pipa laku aspal,positif
selamat siang terimakasih informasi kait kondisi jalan lubang jalan siul akibat kerja bocor pipa koordinasi kait kece aspal,positif
lihat pejal kaki jalan aspal trotoar trotoar prediksi trotoar space datar banding miring nyaman pemkot jalan kaki gatsu tuju lapang lumintang kalao pusat pusat laku kaji kaji perintah daerah masuk masyarakat nyaman sayang dana bangun ngga pakai,negatif
jatuh jalan desa banjar dukuh sirah dung lurah dung ngrus jalan,positif
arti lurah pakai dana maaf masyarakat awam,negatif
terima kasih tanggap pakbu aspal kualitas aspal buruk jalan cekung cembung bahaya kendara malammalam sayang aspal bagus tambal profesional,negatif
suksma atensi ditindaklanjuti kes setengahsetengah nike,positif
anggar mulus jalan aspal minimal program tambal sulam biar jalan kota dps rusak parah rakyat butuh sat set karna sangkut selamat kendara,negatif
pake dana desa tau yaa jalan kota tuu teukumar imam bonjol mahendradata jenis provinsi baypass ngurah rai jalan raya tuju singaraja gilimanuk karangasem jalan dung ngrus kepala desa lutah,positif
lurah tolong koreksi salah,positif
maaf jalan pulau moyo masuk status jalan napi barunkemarin utara selatan dana lurah,positif
yaa tau dana darimana pulau roti koordinasi desa set batas,positif
salur ruas kakak,positif
sampah sampah turis mancanegara komplain sampah rusak indah alam bal,negatif
moga lancar jaya lantai iii lantai,positif
denpasarkota search baca spesifikasi teknis tekan bahan material struktur bangun bangun ramp sandang disabilitas trotoar liat rampnya trotoar rampnya ramp liat jalan rumah warga miring standar bahaya pejal kaki sandang disabilitas paham maksud langgar atur periksa anggar sesuai hasil lapang kalo hasil bagus temu alas jalan desain nyaman pejal kaki aneh jalan trotoar bagus nyaman masyarakat temu kunci pemda pemda wewenang paham medan kondisi jalan pemda kunci masyarakat saran ikan lgi ruang aspirasi masyarakat tau sentimen hadap kondisi jalan pemda desain jalan bangun sesuai atur pusat kembang trotoar nyaman akses orang dar bis tmd operasi bis nama infrastruktur trotoar layak aman coba pikir kritis fungsi perintah cari solusi layan masyarakat coba ubah denpasar pulau cinta peduli kalo masyarakat pemdanya,negatif
jalan cok tresna ii aspal yah jalan hubung tps yangbatu,negatif
jalan tukad irawadi tembus jalan tukad buaji aspal ulang salur got ganti banjir hujan kirim air tukad banyu poh perintah perhati,negatif
pengaspalanya penambalanya,negatif
jalan jaya pangus denut ni suradipa hmmm,negatif
tolong kerja ahli aspal profesional kualitas tambal buruk jebol musim hujan tolong please sedih lihat aspal bagus dibolongin tambal kerja anak,negatif
realisasi jalan teuku umar barat rusak jalan,negatif
jalan kebo ireng benerin,negatif
jalan suradipa peguyangan denpasar utara parah min tolong atensi,negatif
jalan antasura bolong gali pdam hebat,negatif
jalan padma lubang,negatif
kebo iwa selatan masuk list tunggu terimakasih informasi,positif
jalan siul habis bobol pdam rusak gmn min,negatif
jalan suradipa tunjung denut benyah latig banjir min mohon pantau atensi,negatif
informasi manfaat transparansi program perintah masyarakat kota,positif
terimakasih kakak mininfo keluh kritik saran kena fasilitas layan publik kota denpasar buka layan pro denpasar,positif
kebo iwa selatan suksma,positif
mantap info nik,positif
jalan setiabudi denpasar brp,negatif
jalan suradipa kenangandihapus peta jalan kota denpasarpadahal plat merah seliwer jalan suradipabenyah latig,negatif
jalan gunung tangkuban perahu jaman kerja bolong tambal alhasil jalan begajulan bahaya jalan marka jalan lihat,negatif
benah jalan gajah mada sembrabut,negatif
trotoar jalan nangka,negatif
denpasarkota tolong kalo laku aspal ulang trotoargot alir air selokan jalan menhakibatkankan jalan rusak tambal sulam nyata jalan lubang,negatif
sekar jepun nggih,positif
jalan denpasar rusak pusat kota lubang hasanudin thamrin gajahmada,negatif
kesiman kertalangu,positif
kebo iwa selatan min parah banget denpasarkota,negatif
jalan pulau roti jalan rusak banjir hujan,negatif
jalan tukad irawadi panjer parah min mohon atensi,negatif
komen jalan rusak tolong cari data wenang pusat provinsi pemkot biar komennya mubasir,positif
jalan akasia gang pudak gang alir got buntu,negatif
denpasarkota mohon tindak karna cuman sih si mempan karna alir got buntu,negatif
tolong jalan raya pasang marka garis jalan zebra cross garis putus lpju mati,negatif
gatsu timur bekas bca pom bensin,positif
jalan kusuma bangsa aspal meter loh kusuma bangsa aspal,negatif
jalan provinsi kota camat kepala daerah densel lurah dung urus,positif
air pdam daerah padangsambian mati,negatif
iri denpasar,positif
jalan hasanudin plisss banget exwisata rusak parah jalan lubang,negatif
jalan wibisana sing adenusa kambang mas,negatif
harap proyek trotoar jalan fungsi drainese salur air fungsi pikir buka tutup titik kumpul sampah debit air suksma harap warga denpasar nyaman sehat,positif
jalan denpasar gilimanuk,negatif
badah jala karya makmur alokasi dana,negatif
suksma adu sampun masuk projek strategis,positif
ngapain trotoar kena denda ngerusak trotoar trotoar rumah rusak nurunin material,negatif
bangun sekolah puluh milyar,negatif
cek info tender,positif
selamat sore jalan lintas denpasar jalan trotoar jalan ratna hambat pejal kaki pot pasang trotoar atur lintas traffic light kenyerigatsu timur simpang kenyerikecubungwr supratman simpang kfc sanur simpang sedap malamhangtuah simpang buluh indahmahendradattagunung agung perempatanperempatan traffic light samasama nyala lampu hijau arah beda benah jalan sendirisendiri bahaya bingung jalan tertib hadap kendara kes hobi laku langgar lintas bahaya jalan kendara merokokngevapengepod terobos lampu merah lawan arahmemasuki jalan tanda larang masuk parkir kendara pintu masukkeluar kendara trotoar kendara angkat motor salip celah sempit samping kiri mobil pengkol kiri nyala lampu terang jalan malam,positif
macet sampah punapi program,negatif
lantai bor,positif
kerja masyarakat,positif
apbd denpasar,positif
